@relation fwdstudy_arxiv

@attribute url string
@attribute interval numeric
@attribute htype string
@attribute laststatus {200,302,503,404,500,406,403,301,401,400,502,501,408,410,504,405,203,490,429}
@attribute vsim numeric
@attribute sim numeric

@data
http://www.geneontology.org,9,text/html,200,36.394744,0
http://www.geneontology.org,9,text/html,200,36.394744,0
http://www.geneontology.org,9,text/html,200,27.468931,0
http://www.geneontology.org,9,text/html,200,36.524526,0
http://www.geneontology.org,9,text/html,200,36.931947,0
http://www.geneontology.org,9,text/html,200,36.36643,0
http://www.genome.gov/gwastudies,9,text/html,200,87.840825,0
http://www.genome.gov/gwastudies,9,text/html,200,89.86447,0
http://www.genome.gov/gwastudies,9,text/html,200,89.99911,0
http://www.genome.gov/gwastudies/,9,text/html,200,87.854251,0
http://www.genome.gov/gwastudies/,9,text/html,200,87.77304,0
http://www.genome.gov/gwastudies/,9,text/html,200,90.352046,0
http://www.genome.ucsc.edu,9,text/html,200,61.245871,29
http://www.google.com,9,text/html,200,65.625752,77
http://www.ics.uci.edu/~mlearn/MLRepository.html,9,text/html,200,86.905395,57
http://www.linkedin.com,9,text/html,200,71.519632,90
http://www.mathworks.com,9,text/html,200,67.944488,41
http://www.mathworks.com,9,text/html,200,68.248173,38
http://www.mathworks.com,9,text/html,200,68.235854,40
http://www.mathworks.com,9,text/html,200,68.235854,40
http://www.mathworks.com,9,text/html,200,72.692508,0
http://www.ncbi.nlm.nih.gov/pubmed,9,text/html,200,96.587139,83
http://www.ncbi.nlm.nih.gov/pubmed,9,text/html,200,96.557807,83
http://www.ncbi.nlm.nih.gov/SNP,9,text/html,200,94.242331,94
http://www.ncbi.nlm.nih.gov/SNP,9,text/html,200,94.242331,94
http://www.ncbi.nlm.nih.gov/SNP,9,text/html,200,94.242331,94
http://www.ncbi.nlm.nih.gov/SNP,9,text/html,200,94.827278,96
http://www.ncbi.nlm.nih.gov/SNP,9,text/html,200,94.242331,94
http://www.ncbi.nlm.nih.gov/SNP/,9,text/html,200,97.219915,83
http://www.ncbi.nlm.nih.gov/SNP/,9,text/html,200,94.526171,94
http://www.ncbi.nlm.nih.gov/Traces/sra,9,text/html,200,84.982465,68
http://www.nerc.ac.uk/,9,text/html,200,40.004475,0
http://www.nerc.ac.uk/,9,text/html,200,40.047157,0
http://www.noaa.gov,9,text/html,200,82.994258,61
http://www.noaa.gov,9,text/html,200,81.776229,50
http://www.noaa.gov,9,text/html,200,83.505383,63
http://www.noaa.gov/,9,text/html,200,30.745819,49
http://www.noaa.gov/,9,text/html,200,30.711007,46
http://www.nsf.gov/,9,text/html,200,68.13284,54
http://www.nsf.gov/,9,text/html,200,69.126848,55
http://www.nsf.gov/,9,text/html,200,68.8412,50
http://www.nsf.gov/,9,text/html,200,69.324936,50
http://www.nsf.gov/,9,text/html,200,67.948956,52
http://www.physionet.org,9,text/html,200,69.339254,36
http://www.pymol.org,9,text/html,200,85.630246,77
http://www.pymol.org,9,text/html,200,85.630246,77
http://www.pymol.org,9,text/html,200,75.326426,71
http://www.pymol.org,9,text/html,200,75.326426,71
http://www.pymol.org,9,text/html,200,75.326426,71
http://www.pymol.org,9,text/html,200,75.326426,71
http://www.pymol.org,9,text/html,200,78.438801,74
http://www.pymol.org,9,text/html,200,78.438801,74
http://www.pymol.org,9,text/html,200,78.438801,74
http://www.pymol.org,9,text/html,200,78.438801,74
http://www.pymol.org,9,text/html,200,78.438801,74
http://www.roche.com,9,text/html,200,66.127399,44
http://www.scipy.org/,9,text/html,200,82.212821,50
http://www.scipy.org/,9,text/html,200,82.212821,50
http://www.stanford.edu,9,text/html,200,56.905459,0
http://www.uniprot.org,9,text/html,200,41.076819,0
http://www.uniprot.org,9,text/html,200,41.056863,0
http://www.uniprot.org,9,text/html,200,41.056863,0
http://www.uniprot.org,9,text/html,200,41.056863,0
http://www.uniprot.org,9,text/html,200,41.056863,0
http://www.uniprot.org,9,text/html,200,40.576623,0
http://www.youtube.com/yt/press/statistics.html,9,text/html,200,93.897369,90
